form_field_id,form_id,field_id,field_number,field_part,page_number,parent_form_field,min_occurs,max_occurs,required,changed_by,date_changed,creator,date_created,sort_weight,uuid
322,15,166,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',2020.00000,'c06919fa-1691-11df-97a5-7038c432aabf'

323,15,167,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1940.00000,'c0691b29-1691-11df-97a5-7038c432aabf'

324,15,168,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1970.00000,'c0691c59-1691-11df-97a5-7038c432aabf'

325,15,169,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1980.00000,'c0691d80-1691-11df-97a5-7038c432aabf'

326,15,170,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1900.00000,'c0691eb0-1691-11df-97a5-7038c432aabf'

327,15,171,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',2000.00000,'c0691fdb-1691-11df-97a5-7038c432aabf'

328,15,172,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1990.00000,'c0692102-1691-11df-97a5-7038c432aabf'

329,15,173,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',2030.00000,'c0692259-1691-11df-97a5-7038c432aabf'

330,15,174,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1910.00000,'c06923bc-1691-11df-97a5-7038c432aabf'

331,15,175,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1930.00000,'c06924df-1691-11df-97a5-7038c432aabf'

332,15,176,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1920.00000,'c06925fd-1691-11df-97a5-7038c432aabf'

333,15,177,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',2010.00000,'c0692717-1691-11df-97a5-7038c432aabf'

334,15,178,39,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1950.00000,'c0692832-1691-11df-97a5-7038c432aabf'

335,15,180,40,NULL,4,373,0,-1,0,1,'2005-08-0807:18:00',1,'2005-08-0600:00:00',2310.00000,'c0692955-1691-11df-97a5-7038c432aabf'

336,15,181,40,NULL,4,373,0,-1,0,1,'2005-08-0807:17:00',1,'2005-08-0600:00:00',2300.00000,'c0692a73-1691-11df-97a5-7038c432aabf'

337,15,182,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:47:00',1,'2005-08-0600:00:00',2320.00000,'c0692b96-1691-11df-97a5-7038c432aabf'

338,15,185,41,NULL,5,375,NULL,NULL,0,1,'2005-08-0811:47:00',1,'2005-08-0600:00:00',2330.00000,'c0692cac-1691-11df-97a5-7038c432aabf'

